Date of Offense,Time of Offense,Date Offense Reported,Report Year,Month,CCN,District,Block Location,Type of Hate Bias,Targeted Group ,Top Offense Type
3/4/2018,0352,3/4/2018,2018,3,18035701,5D,200 B/O K St NE,Gender Identity/Expression,,Simple Assault
3/4/2018,0345,3/4/2018,2018,3,18035702,5D,2200 B/O New York Ave NE,Ethnicity/National Origin,Arab/Middle Eastern,Simple Assault
3/4/2018,1553,3/4/2018,2018,3,18035915,3D,1700 B/O U St NW,Sexual Orientation,,Simple Assault
3/6/2018,1230,3/7/2018,2018,3,18037412,1D,400 B/O M St SE,Gender Identity/Expression,,Threats
3/2/2018,2100,3/7/2018,2018,3,18037611,2D,2400 B/O M St NW,Religion,Jewish,Theft
3/1/2018,0100,3/10/2018,2018,3,18039188,2D,4200 B/O Massachusetts Ave NW,Sexual Orientation,,Threats
3/16/2018,0100,3/16/2018,2018,3,18042460,2D,1800 B/O N St NW,Political Affiliation,,ADW
3/16/2018,0001,3/16/2018,2018,3,18042877,1D,200 B/O 13th St NE,Race,Black,Damage/Defacing/Destruction of Property
3/20/2018,1309,3/20/2018,2018,3,18044954,1D,1100 B/O 4th ST SW,Race,Black,Threats
3/23/2018,1443,3/23/2018,2018,3,18046627,4D,7700 B/O 16th ST NW,Religion,Jewish,Threats
3/24/2018,1449,3/24/2018,2018,3,18047210,3D,1800 B/O Adams Mill Rd NW,Race,White,Simple Assault
3/26/2018,2027,3/26/2018,2018,3,18048419,2D,3300 B/O Wisconsin Ave NW,Race,Black,Damage/Defacing/Destruction of Property
3/27/2018,1806,3/27/2018,2018,3,18048869,1D,600 B/O 7th St NW,Sexual Orientation,,Simple Assault
3/27/2018,1853,3/27/2018,2018,3,18048916,1D,900 B/O L'Enfant Plaza SW,Race,White,Simple Assault
4/3/2018,0701,4/3/2018,2018,4,18052609,1D,700 B/O 8th St NW,Race,Black,Theft
4/4/2018,1540,4/4/2018,2018,4,18054104,5D,500 B/O Penn St NE,Ethnicity/National Origin,Latino/Hispanic,Sexual Abuse
4/5/2018,1746,4/5/2018,2018,4,18054222,2D,1000 B/O New York Ave NW,Race,White,Simple Assault
4/3/2018,1930,4/5/2018,2018,4,18054224,1D,1000 B/O 13th St SE,Religion,Muslim,Threats
4/10/2018,0305,4/10/2018,2018,4,18056813,3D,900 B/O Florida Ave NW,Race,White,Simple Assault
4/14/2018,2156,4/14/2018,2018,4,18059835,2D,1200 B/O 28th ST NW,Religion,Muslim,Damage/Defacing/Destruction of Property
4/15/2018,0031,4/15/2018,2018,4,18059930,3D,2000 B/O 10th St NW,Sexual Orientation,,ADW
4/15/2018,1512,4/15/2018,2018,4,18060233,4D,3700 B/O Georgia Ave NW,Sexual Orientation,,Simple Assault
